Longitud de Onda;Intensidad
945.77;0.416340
947.02;0.448279
948.28;0.495163
949.53;0.549237
950.78;0.553747
952.04;0.555447
953.29;0.555098
954.55;0.553900
955.80;0.553965
957.05;0.551678
958.31;0.552244
959.56;0.552331
960.82;0.553486
962.07;0.555817
963.32;0.557386
964.58;0.557625
965.83;0.555033
967.08;0.556906
968.34;0.557538
969.59;0.559129
970.85;0.558649
972.10;0.555948
973.35;0.556122
974.61;0.554052
975.86;0.553573
977.12;0.555926
978.37;0.556797
979.62;0.557778
980.88;0.557778
982.13;0.558083
983.39;0.560632
984.64;0.560675
985.89;0.559869
987.15;0.557603
988.40;0.559390
989.66;0.556296
990.91;0.553638
992.16;0.557930
993.42;0.559630
994.67;0.558301
995.92;0.552941
997.18;0.557102
998.43;0.556732
999.69;0.553486
1000.94;0.554706
1002.19;0.553791
1003.45;0.554074
1004.70;0.553333
1005.96;0.553987
1007.21;0.553290
1008.46;0.550959
1009.72;0.551525
1010.97;0.553312
1012.23;0.554161
1013.48;0.552985
1014.73;0.551612
1015.99;0.550915
1017.24;0.550370
1018.50;0.549542
1019.75;0.549608
1021.00;0.552004
1022.26;0.553224
1023.51;0.551416
1024.76;0.551721
1026.02;0.551895
1027.27;0.554379
1028.53;0.556797
1029.78;0.556057
1031.03;0.553878
1032.29;0.555251
1033.54;0.554619
1034.80;0.555251
1036.05;0.557712
1037.30;0.557102
1038.56;0.557386
1039.81;0.554815
1041.07;0.556035
1042.32;0.557059
1043.57;0.560240
1044.83;0.560741
1046.08;0.558889
1047.34;0.558497
1048.59;0.556449
1049.84;0.558344
1051.10;0.558911
1052.35;0.559521
1053.60;0.559782
1054.86;0.557364
1056.11;0.560196
1057.37;0.559085
1058.62;0.557908
1059.87;0.559129
1061.13;0.557516
1062.38;0.559172
1063.64;0.560588
1064.89;0.560719
1066.14;0.561590
1067.40;0.560065
1068.65;0.561678
1069.91;0.564270
1071.16;0.565316
1072.41;0.565316
1073.67;0.565686
1074.92;0.564597
1076.18;0.566492
1077.43;0.566536
1078.68;0.566885
1079.94;0.570479
1081.19;0.568584
1082.45;0.568519
1083.70;0.568845
1084.95;0.569150
1086.21;0.569368
1087.46;0.569281
1088.71;0.570741
1089.97;0.571111
1091.22;0.570261
1092.48;0.571416
1093.73;0.570240
1094.98;0.573181
1096.24;0.572832
1097.49;0.569673
1098.75;0.572549
1100.00;0.573137
