Longitud de Onda;Intensidad
700.00;0.279651
701.25;0.281394
702.51;0.283115
703.76;0.284270
705.02;0.287495
706.27;0.289237
707.52;0.294488
708.78;0.298475
710.03;0.303442
711.29;0.311046
712.54;0.315773
713.79;0.323355
715.05;0.329586
716.30;0.336057
717.55;0.344183
718.81;0.348627
720.06;0.348627
721.32;0.356993
722.57;0.366754
723.82;0.367233
725.08;0.374205
726.33;0.380196
727.59;0.385643
728.84;0.393943
730.09;0.388606
731.35;0.384379
732.60;0.367647
733.86;0.358519
735.11;0.347712
736.36;0.339477
737.62;0.329434
738.87;0.324924
740.13;0.310022
741.38;0.300675
742.63;0.286318
743.89;0.276580
745.14;0.260196
746.39;0.247887
747.65;0.231242
748.90;0.225403
750.16;0.218301
751.41;0.218148
752.66;0.217255
753.92;0.216492
755.17;0.220065
756.43;0.221481
757.68;0.219848
758.93;0.221155
760.19;0.223464
761.44;0.228017
762.70;0.241329
763.95;0.250349
765.20;0.250632
766.46;0.261155
767.71;0.265490
768.97;0.275338
770.22;0.273399
771.47;0.274444
772.73;0.270283
773.98;0.266122
775.24;0.263224
776.49;0.260065
777.74;0.261743
779.00;0.255534
780.25;0.249630
781.50;0.240479
782.76;0.220915
784.01;0.207800
785.27;0.196383
786.52;0.194118
787.77;0.203965
789.03;0.207211
790.28;0.206928
791.54;0.210959
792.79;0.219717
794.04;0.235556
795.30;0.235207
796.55;0.227211
797.81;0.208845
799.06;0.202789
800.31;0.196187
801.57;0.199041
802.82;0.199129
804.08;0.212810
805.33;0.229412
806.58;0.244880
807.84;0.263769
809.09;0.289259
810.34;0.314161
811.60;0.344619
812.85;0.367342
814.11;0.394423
815.36;0.418627
816.61;0.436863
817.87;0.455229
819.12;0.479804
820.38;0.492941
821.63;0.512353
822.88;0.528715
824.14;0.551917
825.39;0.557821
826.65;0.561133
827.90;0.556928
829.15;0.564161
830.41;0.566253
831.66;0.567756
832.92;0.567996
834.17;0.572571
835.42;0.573856
836.68;0.578540
837.93;0.585011
839.18;0.587821
840.44;0.587952
841.69;0.593290
842.95;0.598017
844.20;0.600196
845.45;0.601874
846.71;0.600828
847.96;0.605294
849.22;0.611089
850.47;0.612963
851.72;0.619651
852.98;0.622440
854.23;0.623638
855.49;0.614205
856.74;0.622222
857.99;0.629826
859.25;0.633617
860.50;0.630545
861.76;0.632505
863.01;0.633442
864.26;0.634967
865.52;0.635904
866.77;0.635577
868.03;0.635229
869.28;0.633442
870.53;0.630392
871.79;0.632026
873.04;0.630632
874.29;0.627102
875.55;0.621939
876.80;0.620065
878.06;0.619913
879.31;0.623181
880.56;0.618889
881.82;0.617255
883.07;0.618758
884.33;0.620349
885.58;0.620022
886.83;0.619172
888.09;0.619521
889.34;0.616863
890.60;0.589586
891.85;0.559412
893.10;0.519216
894.36;0.494009
895.61;0.514880
896.87;0.511590
898.12;0.524684
899.37;0.513508
900.63;0.502810
901.88;0.499891
903.13;0.494706
904.39;0.486449
905.64;0.481264
906.90;0.475120
908.15;0.465468
909.40;0.460741
910.66;0.454401
911.91;0.452723
913.17;0.449455
914.42;0.448453
915.67;0.451830
916.93;0.457625
918.18;0.466950
919.44;0.469259
920.69;0.463638
921.94;0.461481
923.20;0.461046
924.45;0.460458
925.71;0.459673
926.96;0.463943
928.21;0.465294
929.47;0.466797
930.72;0.464640
931.97;0.464466
933.23;0.463028
934.48;0.461699
935.74;0.456166
936.99;0.451503
938.24;0.446580
939.50;0.447102
940.75;0.438192
942.01;0.434336
943.26;0.422898
944.51;0.415773
