Longitud de Onda;Intensidad
400.00;7.972222
403.98;7.555556
407.95;7.777778
411.93;7.708333
415.91;8.111111
419.89;7.756944
423.86;8.347222
427.84;8.020833
431.82;8.416667
435.80;8.319444
439.77;8.784722
443.75;8.673611
447.73;9.409722
451.70;9.236111
455.68;9.687500
459.66;9.819444
463.64;10.416667
467.61;10.243056
471.59;10.645833
475.57;10.465278
479.55;10.965278
483.52;10.923611
487.50;11.687500
491.48;11.437500
495.45;12.055556
499.43;12.041667
503.41;12.465278
507.39;12.236111
511.36;12.937500
515.34;12.798611
519.32;13.222222
523.30;12.979167
527.27;13.534722
531.25;13.354167
535.23;13.604167
539.20;13.722222
543.18;14.020833
547.16;14.006944
551.14;14.416667
555.11;14.312500
559.09;14.618056
563.07;14.715278
567.05;15.312500
571.02;15.138889
575.00;15.666667
578.98;15.736111
582.95;16.173611
586.93;16.069444
590.91;16.486111
594.89;16.520833
598.86;16.979167
602.84;17.166667
606.82;17.590278
610.80;17.430556
614.77;17.951389
618.75;18.027778
622.73;18.583333
626.70;18.458333
630.68;18.972222
634.66;19.069444
638.64;19.687500
642.61;19.659722
646.59;20.263889
650.57;20.354167
654.55;20.916667
658.52;20.652778
662.50;21.201389
666.48;21.423611
670.45;21.868056
674.43;21.805556
678.41;22.138889
682.39;22.041667
686.36;22.680556
690.34;22.256944
694.32;22.590278
698.30;22.534722
702.27;22.958333
706.25;22.916667
710.23;23.368056
714.20;23.097222
718.18;23.694444
722.16;23.902778
726.14;24.111111
730.11;23.993056
734.09;24.465278
738.07;24.541667
742.05;24.923611
746.02;24.861111
750.00;25.354167
753.98;25.062500
757.95;25.666667
761.93;25.604167
765.91;26.055556
769.89;25.916667
773.86;26.201389
777.84;26.000000
781.82;26.486111
785.80;26.354167
789.77;26.652778
793.75;26.201389
797.73;26.868056
801.70;26.687500
805.68;26.805556
809.66;26.506944
813.64;27.159722
817.61;26.465278
821.59;27.138889
825.57;26.868056
829.55;27.104167
833.52;27.256944
837.50;27.354167
841.48;27.222222
845.45;27.402778
849.43;27.451389
853.41;27.930556
857.39;27.694444
861.36;28.236111
865.34;27.881944
869.32;28.375000
873.30;27.888889
877.27;28.097222
881.25;27.833333
885.23;27.944444
889.20;27.472222
893.18;27.958333
897.16;27.465278
901.14;27.743056
905.11;27.236111
909.09;27.680556
913.07;27.333333
917.05;27.319444
921.02;27.159722
925.00;27.597222
928.98;26.944444
932.95;26.937500
936.93;26.770833
940.91;26.923611
944.89;26.145833
948.86;26.027778
952.84;25.388889
956.82;25.340278
960.80;24.500000
964.77;24.493056
968.75;24.020833
972.73;24.722222
976.70;23.965278
980.68;23.729167
984.66;23.666667
988.64;23.409722
992.61;22.895833
996.59;22.715278
1000.57;21.993056
1004.55;22.055556
1008.52;20.993056
1012.50;20.951389
1016.48;20.118056
1020.45;20.187500
1024.43;19.333333
1028.41;19.159722
1032.39;18.097222
1036.36;18.166667
1040.34;16.770833
1044.32;16.895833
1048.30;15.770833
1052.27;15.951389
1056.25;15.680556
1060.23;15.666667
1064.20;15.229167
1068.18;15.347222
1072.16;14.479167
1076.14;14.131944
1080.11;13.256944
1084.09;12.986111
1088.07;12.409722
1092.05;12.076389
1096.02;11.708333
