Longitud de Onda;Intensidad
700.00;0.041258
702.29;0.038834
704.57;0.042974
706.86;0.042157
709.14;0.044444
711.43;0.043573
713.71;0.044717
716.00;0.044499
718.29;0.047222
720.57;0.046596
722.86;0.049047
725.14;0.048747
727.43;0.049946
729.71;0.049673
732.00;0.051716
734.29;0.051607
736.57;0.054357
738.86;0.053431
741.14;0.055773
743.43;0.055120
745.71;0.057026
748.00;0.057734
750.29;0.059695
752.57;0.059205
754.86;0.061302
757.14;0.060948
759.43;0.062908
761.71;0.061411
764.00;0.063453
766.29;0.063344
768.57;0.064488
770.86;0.064243
773.14;0.066667
775.43;0.065114
777.71;0.067347
780.00;0.067647
782.29;0.070316
784.57;0.070289
786.86;0.070697
789.14;0.070779
791.43;0.072549
793.71;0.072794
796.00;0.074782
798.29;0.074592
800.57;0.076471
802.86;0.077669
805.14;0.078540
807.43;0.079031
809.71;0.081808
812.00;0.080991
814.29;0.083115
816.57;0.084613
818.86;0.085948
821.14;0.086411
823.43;0.088371
825.71;0.088617
828.00;0.091394
830.29;0.091285
832.57;0.093981
834.86;0.094553
837.14;0.097222
839.43;0.097304
841.71;0.100054
844.00;0.101171
846.29;0.102723
848.57;0.103540
850.86;0.105447
853.14;0.105365
855.43;0.108469
857.71;0.107870
860.00;0.111166
862.29;0.110594
864.57;0.112663
866.86;0.112800
869.14;0.114869
871.43;0.115577
873.71;0.118056
876.00;0.116912
878.29;0.120779
880.57;0.119336
882.86;0.122004
885.14;0.122168
887.43;0.124809
889.71;0.123911
892.00;0.126961
894.29;0.126498
896.57;0.128486
898.86;0.129412
901.14;0.131454
903.43;0.131672
905.71;0.132544
908.00;0.132053
910.29;0.135131
912.57;0.134341
914.86;0.136302
917.14;0.135893
919.43;0.138480
921.71;0.137200
924.00;0.140605
926.29;0.139842
928.57;0.142293
930.86;0.140550
933.14;0.141803
935.43;0.142184
937.71;0.144036
940.00;0.143328
942.29;0.145044
944.57;0.144444
946.86;0.145915
949.14;0.145861
951.43;0.145942
953.71;0.146759
956.00;0.149183
958.29;0.147495
960.57;0.149537
962.86;0.149700
965.14;0.152206
967.43;0.150926
969.71;0.151852
972.00;0.150790
974.29;0.152968
976.57;0.152070
978.86;0.153867
981.14;0.152642
983.43;0.154657
985.71;0.153023
988.00;0.155447
990.29;0.154303
992.57;0.155937
994.86;0.155882
997.14;0.156836
999.43;0.156454
1001.71;0.157271
1004.00;0.155120
1006.29;0.156808
1008.57;0.156481
1010.86;0.156373
1013.14;0.153649
1015.43;0.154684
1017.71;0.152587
1020.00;0.153214
1022.29;0.148448
1024.57;0.149346
1026.86;0.146950
1029.14;0.149401
1031.43;0.146732
1033.71;0.146596
1036.00;0.145697
1038.29;0.145125
1040.57;0.140986
1042.86;0.139624
1045.14;0.135131
1047.43;0.134123
1049.71;0.130692
1052.00;0.130855
1054.29;0.127397
1056.57;0.127778
1058.86;0.124973
1061.14;0.123557
1063.43;0.118981
1065.71;0.118655
1068.00;0.113725
1070.29;0.114352
1072.57;0.109395
1074.86;0.110430
1077.14;0.106345
1079.43;0.106944
1081.71;0.104575
1084.00;0.105011
1086.29;0.100408
1088.57;0.098992
1090.86;0.093954
1093.14;0.093382
1095.43;0.088998
1097.71;0.087827
1100.00;0.086111
