Longitud de Onda;Intensidad
700.00;0.041231
702.29;0.040033
704.57;0.043246
706.86;0.042402
709.14;0.044690
711.43;0.043110
713.71;0.044390
716.00;0.044199
718.29;0.046106
720.57;0.046078
722.86;0.047903
725.14;0.048066
727.43;0.049129
729.71;0.049428
732.00;0.051934
734.29;0.051716
736.57;0.055229
738.86;0.053840
741.14;0.056808
743.43;0.055855
745.71;0.057298
748.00;0.057053
750.29;0.059150
752.57;0.058088
754.86;0.061166
757.14;0.060430
759.43;0.062745
761.71;0.062446
764.00;0.063725
766.29;0.063508
768.57;0.063426
770.86;0.064216
773.14;0.065795
775.43;0.065550
777.71;0.067892
780.00;0.067075
782.29;0.070806
784.57;0.069036
786.86;0.071351
789.14;0.070425
791.43;0.073529
793.71;0.072277
796.00;0.074809
798.29;0.075545
800.57;0.076797
802.86;0.076688
805.14;0.078486
807.43;0.078404
809.71;0.080746
812.00;0.080882
814.29;0.082952
816.57;0.083306
818.86;0.086520
821.14;0.085648
823.43;0.088562
825.71;0.088753
828.00;0.091966
830.29;0.091313
832.57;0.095125
834.86;0.093437
837.14;0.098284
839.43;0.098175
841.71;0.100054
844.00;0.101062
846.29;0.103785
848.57;0.103322
850.86;0.105910
853.14;0.105338
855.43;0.107680
857.71;0.107925
860.00;0.110430
862.29;0.108905
864.57;0.113126
866.86;0.112064
869.14;0.115114
871.43;0.115468
873.71;0.117266
876.00;0.117048
878.29;0.120044
880.57;0.118437
882.86;0.122141
885.14;0.121650
887.43;0.125817
889.71;0.123666
892.00;0.128050
894.29;0.126852
896.57;0.129276
898.86;0.129602
901.14;0.131400
903.43;0.131590
905.71;0.132843
908.00;0.132108
910.29;0.134913
912.57;0.133715
914.86;0.134940
917.14;0.134995
919.43;0.137446
921.71;0.137691
924.00;0.140033
926.29;0.138371
928.57;0.141612
930.86;0.139243
933.14;0.142620
935.43;0.140904
937.71;0.143573
940.00;0.142810
942.29;0.144717
944.57;0.144553
946.86;0.145697
949.14;0.144145
951.43;0.147467
953.71;0.146678
956.00;0.150245
958.29;0.148992
960.57;0.149646
962.86;0.149564
965.14;0.152288
967.43;0.150463
969.71;0.152696
972.00;0.151525
974.29;0.152533
976.57;0.152369
978.86;0.153622
981.14;0.152614
983.43;0.153595
985.71;0.153894
988.00;0.155501
990.29;0.154412
992.57;0.155610
994.86;0.155528
997.14;0.156808
999.43;0.156155
1001.71;0.157326
1004.00;0.155610
1006.29;0.157298
1008.57;0.157816
1010.86;0.156046
1013.14;0.154575
1015.43;0.155474
1017.71;0.153186
1020.00;0.153077
1022.29;0.150790
1024.57;0.150626
1026.86;0.148693
1029.14;0.150463
1031.43;0.147004
1033.71;0.147658
1036.00;0.146187
1038.29;0.144444
1040.57;0.140087
1042.86;0.139270
1045.14;0.134205
1047.43;0.134940
1049.71;0.129194
1052.00;0.131509
1054.29;0.127288
1056.57;0.127778
1058.86;0.123175
1061.14;0.123720
1063.43;0.118873
1065.71;0.117810
1068.00;0.113535
1070.29;0.113072
1072.57;0.109886
1074.86;0.109804
1077.14;0.106427
1079.43;0.106944
1081.71;0.105011
1084.00;0.104085
1086.29;0.100109
1088.57;0.099101
1090.86;0.093981
1093.14;0.091939
1095.43;0.087827
1097.71;0.087200
1100.00;0.085621
