Longitud de Onda;Intensidad
700.00;0.041694
702.29;0.040441
704.57;0.043192
706.86;0.042320
709.14;0.044662
711.43;0.043273
713.71;0.044962
716.00;0.043927
718.29;0.046460
720.57;0.045098
722.86;0.047440
725.14;0.047304
727.43;0.048693
729.71;0.048611
732.00;0.050953
734.29;0.050626
736.57;0.053731
738.86;0.052778
741.14;0.055419
743.43;0.054439
745.71;0.057298
748.00;0.057190
750.29;0.059641
752.57;0.058415
754.86;0.060376
757.14;0.060212
759.43;0.062609
761.71;0.061438
764.00;0.062827
766.29;0.063208
768.57;0.063263
770.86;0.063998
773.14;0.066857
775.43;0.065414
777.71;0.067375
780.00;0.067729
782.29;0.070479
784.57;0.069417
786.86;0.071405
789.14;0.071269
791.43;0.072767
793.71;0.072794
796.00;0.075300
798.29;0.074918
800.57;0.076661
802.86;0.076879
805.14;0.078159
807.43;0.078513
809.71;0.080692
812.00;0.080147
814.29;0.083769
816.57;0.083252
818.86;0.086465
821.14;0.086356
823.43;0.087663
825.71;0.088807
828.00;0.090959
830.29;0.091013
832.57;0.092702
834.86;0.094172
837.14;0.096024
839.43;0.096732
841.71;0.099510
844.00;0.100136
846.29;0.102642
848.57;0.102097
850.86;0.105501
853.14;0.105011
855.43;0.108279
857.71;0.108497
860.00;0.110349
862.29;0.108851
864.57;0.113617
866.86;0.112636
869.14;0.114788
871.43;0.115251
873.71;0.117674
876.00;0.117211
878.29;0.118873
880.57;0.118491
882.86;0.121923
885.14;0.121732
887.43;0.124237
889.71;0.123557
892.00;0.126906
894.29;0.126743
896.57;0.130120
898.86;0.129303
901.14;0.131155
903.43;0.130202
905.71;0.133442
908.00;0.133115
910.29;0.135485
912.57;0.134259
914.86;0.135349
917.14;0.134722
919.43;0.137473
921.71;0.137228
924.00;0.139624
926.29;0.139352
928.57;0.140496
930.86;0.139216
933.14;0.141966
935.43;0.141639
937.71;0.143083
940.00;0.142048
942.29;0.144581
944.57;0.143164
946.86;0.146351
949.14;0.143818
951.43;0.145806
953.71;0.146324
956.00;0.148066
958.29;0.148529
960.57;0.150218
962.86;0.149428
965.14;0.151770
967.43;0.149837
969.71;0.152696
972.00;0.151117
974.29;0.152778
976.57;0.151879
978.86;0.153431
981.14;0.153268
983.43;0.154357
985.71;0.152015
988.00;0.153404
990.29;0.153595
992.57;0.154466
994.86;0.154657
997.14;0.155501
999.43;0.155664
1001.71;0.157162
1004.00;0.154412
1006.29;0.155719
1008.57;0.154793
1010.86;0.156264
1013.14;0.154521
1015.43;0.154493
1017.71;0.152914
1020.00;0.153159
1022.29;0.149837
1024.57;0.149455
1026.86;0.148312
1029.14;0.149455
1031.43;0.147440
1033.71;0.147495
1036.00;0.145098
1038.29;0.145316
1040.57;0.139869
1042.86;0.138780
1045.14;0.134395
1047.43;0.134613
1049.71;0.129929
1052.00;0.129820
1054.29;0.125926
1056.57;0.127478
1058.86;0.123366
1061.14;0.123693
1063.43;0.118845
1065.71;0.117892
1068.00;0.113617
1070.29;0.114052
1072.57;0.109477
1074.86;0.109178
1077.14;0.106046
1079.43;0.105310
1081.71;0.103105
1084.00;0.105719
1086.29;0.098284
1088.57;0.099265
1090.86;0.093682
1093.14;0.092783
1095.43;0.088916
1097.71;0.086928
1100.00;0.085812
