ID Muestra: MDV152377
Longitud de Onda;Intensidad Promedio
300.00;0.000640
303.41;0.000183
306.82;0.000091
310.23;0.000091
313.64;0.000000
317.05;0.000000
320.45;0.000183
323.86;0.000091
327.27;0.000183
330.68;0.000000
334.09;0.000000
337.50;0.000000
340.91;0.000457
344.32;0.000000
347.73;0.000000
351.14;0.000091
354.55;0.000000
357.95;0.000000
361.36;0.000000
364.77;0.000091
368.18;0.000274
371.59;0.000000
375.00;0.000091
378.41;0.000000
381.82;0.000091
385.23;0.000000
388.64;0.000000
392.05;0.000000
395.45;0.000183
398.86;0.000457
402.27;0.001005
405.68;0.000548
409.09;0.001736
412.50;0.000548
415.91;0.000000
419.32;0.000000
422.73;0.001371
426.14;0.000731
429.55;0.000091
432.95;0.000000
436.36;0.000000
439.77;0.000000
443.18;0.000000
446.59;0.000000
450.00;0.000365
453.41;0.000000
456.82;0.000640
460.23;0.000365
463.64;0.000000
467.05;0.000000
470.45;0.000000
473.86;0.000000
477.27;0.000548
480.68;0.000000
484.09;0.000000
487.50;0.000091
490.91;0.003564
494.32;0.001371
497.73;0.000091
501.14;0.000000
504.55;0.000091
507.95;0.000000
511.36;0.000091
514.77;0.000000
518.18;0.000000
521.59;0.000000
525.00;0.000000
528.41;0.000000
531.82;0.000000
535.23;0.000091
538.64;0.000091
542.05;0.000000
545.45;0.000000
548.86;0.000000
552.27;0.000091
555.68;0.000274
559.09;0.000183
562.50;0.000000
565.91;0.000183
569.32;0.000000
572.73;0.000365
576.14;0.000091
579.55;0.000000
582.95;0.000000
586.36;0.000091
589.77;0.000091
593.18;0.000000
596.59;0.000000
600.00;0.000000
603.41;0.000274
606.82;0.000000
610.23;0.000183
613.64;0.000457
617.05;0.000000
620.45;0.000000
623.86;0.000000
627.27;0.000000
630.68;0.000000
634.09;0.000091
637.50;0.000000
640.91;0.000000
644.32;0.000000
647.73;0.000457
651.14;0.000274
654.55;0.000091
657.95;0.000000
661.36;0.000365
664.77;0.000091
668.18;0.000274
671.59;0.000000
675.00;0.000365
678.41;0.000000
681.82;0.000000
685.23;0.000274
688.64;0.000000
692.05;0.000091
695.45;0.000365
698.86;0.000000
702.27;0.000274
705.68;0.000000
709.09;0.000000
712.50;0.000000
715.91;0.000091
719.32;0.000091
722.73;0.000822
726.14;0.000091
729.55;0.000274
732.95;0.000274
736.36;0.000091
739.77;0.000000
743.18;0.000183
746.59;0.000183
750.00;0.000183
753.41;0.000000
756.82;0.000183
760.23;0.000000
763.64;0.000274
767.05;0.000091
770.45;0.000183
773.86;0.000000
777.27;0.000091
780.68;0.000091
784.09;0.000091
787.50;0.000091
790.91;0.000000
794.32;0.000000
797.73;0.000000
801.14;0.000000
804.55;0.000091
807.95;0.000091
811.36;0.000183
814.77;0.000000
818.18;0.000000
821.59;0.000183
825.00;0.000183
828.41;0.000274
831.82;0.000091
835.23;0.000000
838.64;0.000457
842.05;0.000091
845.45;0.000365
848.86;0.000000
852.27;0.000000
855.68;0.000457
859.09;0.000274
862.50;0.000091
865.91;0.000640
869.32;0.000274
872.73;0.000365
876.14;0.000183
879.55;0.000183
882.95;0.000000
886.36;0.000548
889.77;0.000731
893.18;0.000091
896.59;0.000000
